County,DC,CC,DistrictOffice
Anderson,6,1,Kilgore
Andrews,8,3,Midland
Angelina,6,5,Kilgore
Aransas,4,7,Corpus Christi
Archer,9,9,Wichita Falls
Armstrong,10,11,Pampa
Atascosa,1,13,San Antonio
Austin,3,15,Houston
Bailey,8A,17,Abilene
Bandera,1,19,San Antonio
Bastrop,1,21,San Antonio
Baylor,9,23,Wichita Falls 
Bee,2,25,San Antonio
Bell,1,27,San Antonio
Bexar,1,29,San Antonio
Blanco,1,31,San Antonio
Borden,8A,33,Abilene
Bosque,5,35,Kilgore
Bowie,6,37,Kilgore
Brazoria,3,39,Houston
Brazos,3,41,Houston
Brewster,8,43,Midland
Briscoe,10,45,Pampa
Brooks,4,47,Corpus Christi
Brown,7B,49,Abilene
Burleson,3,51,Houston
Burnet,1,53,San Antonio
Caldwell,1,55,San Antonio
Calhoun,2,57,San Antonio
Callahan,7B,59,Abilene
Cameron,4,61,Corpus Christi
Camp,6,63,Kilgore
Carson,10,65,Pampa
Cass,6,67,Kilgore
Castro,10,69,Pampa
Chambers,3,71,Houston
Cherokee,6,73,Kilgore
Childress,10,75,Pampa
Clay,9,77,Wichita Falls
Cochran,8A,79,Abilene
Coke,7C,81,San Angelo
Coleman,7B,83,Abilene
Collin,5,85,Kilgore
Collingsworth,10,87,Pampa
Colorado,3,89,Houston
Comal,1,91,San Antonio
Comanche,7B,93,Abilene
Concho,7C,95,San Angelo
Cooke,9,97,Wichita Falls
Coryell,7B,99,Abilene
Cottle,8A,101,Abilene
Crane,8,103,Midland
Crockett,7C,105,San Angelo
Crosby,8A,107,Abilene
Culberson,8,109,Midland
Dallam,10,111,Pampa
Dallas,5,113,Kilgore
Dawson,8A,115,Abilene
Deaf Smith,10,117,Pampa
Delta,5,119,Kilgore
Denton,9,121,Wichita Falls
De Witt,2,123,San Antonio
Dickens,8A,125,Abilene
Dimmit,1,127,San Antonio
Donley,10,129,Pampa
Duval,4,131,Corpus Christi
Eastland,7B,133,Abilene
Ector,8,135,Midland
Edwards,1,137,San Antonio
Ellis,5,139,Kilgore
El Paso,8,141,Midland
Erath,7B,143,Abilene
Falls,5,145,Kilgore
Fannin,5,147,Kilgore
Fayette,3,149,Houston
Fisher,7B,151,Abilene
Floyd,8A,153,Abilene
Foard,9,155,Wichita Falls 
Fort Bend,3,157,Houston
Franklin,6,159,Kilgore
Freestone,5,161,Kilgore
Frio,1,163,San Antonio
Gaines,8A,165,Abilene
Galveston,3,167,Houston
Garza,8A,169,Abilene
Gillespie,1, 171,San Antonio
Glasscock,8, 173,Midland
Goliad,2, 175,San Antonio
Gonzales,1, 177,San Antonio
Gray,10, 179,Pampa
Grayson,9, 181,Wichita Falls 
Gregg,6, 183,Kilgore
Grimes,3, 185,Houston
Guadalupe,1, 187,San Antonio
Hale,8A, 189,Abilene
Hall,10, 191,Pampa
Hamilton,7B, 193,Abilene
Hansford,10, 195,Pampa
Hardeman,9, 197,Wichita Falls
Hardin,3, 199,Houston
Harris,3, 201,Houston
Harrison,6, 203,Kilgore
Hartley,10, 205,Pampa
Haskell,7B, 207,Abilene
Hays,1, 209,San Antonio
Hemphill,10, 211,Pampa
Henderson,5, 213,Kilgore
Hidalgo,4, 215,Corpus Christi
Hill,5, 217,Kilgore
Hockley,8A, 219,Abilene
Hood,7B, 221,Abilene
Hopkins,5, 223,Kilgore
Houston,6, 225,Kilgore
Howard,8, 227,Midland
Hudspeth,8, 229,Midland
Hunt,5, 231,Kilgore
Hutchinson,10, 233,Pampa
Irion,7C, 235,San Angelo
Jack,9, 237,Wichita Falls
Jackson,2, 239,San Antonio
Jasper,3, 241,Houston
Jeff Davis,8, 243,Midland
Jefferson,3, 245,Houston
Jim Hogg,4, 247,Corpus Christi
