rrcDist,nLeaseRep,nLeaseDelq,nWellFlow,nWellOther,bblAllowMonth,bblAllowDelqMonth,bblReportedMonth,bblReportedDay,pctUnderProduced,pipeline,trucks,otherTrans,bblClosingStock,date
1,6158,157,3162,18746,33914243,283988,16104072,519486,52.22,9747356,6358482,30834,1827016,2018-12-01
10,3113,128,1350,7392,6056804,102052,996169,32134,82.96,35390,925963,570,889779,2018-12-01
2,2625,34,1675,4358,34126774,330491,14709424,474498,56.56,10212367,4515270,36185,923306,2018-12-01
3,5337,378,2202,5488,6407556,195404,2869233,92556,54.15,510032,2351092,17945,1130180,2018-12-01
4,1083,17,202,1076,416255,5859,232710,7507,43.6,15728,217019,1607,181797,2018-12-01
5,994,16,329,1316,1938604,1490,520932,16804,73.1,18180,498590,446,173852,2018-12-01
6,3309,39,419,7367,10230129,29191,912677,29442,91.08,298339,594497,736,572213,2018-12-01
7b,4797,219,554,8080,1317571,48106,740590,23890,42.51,217073,510390,940,624674,2018-12-01
7c,6039,209,1018,15848,19217116,633774,10292755,332024,45.29,6401998,3939915,7271,1443263,2018-12-01
8,17891,228,7199,50920,340605,1369112,52185692,1683409,47.51,37951558,14101236,83699,6630926,2018-12-01
8a,4359,116,912,19103,11161337,1291739,7442498,240081,29.27,5380677,2063616,1645,999440,2018-12-01
9,7194,219,607,16649,1659106,54238,799359,25786,50.68,46230,746297,1036,952399,2018-12-01
1,5996,239,3461,18515,36621285,147750,15107992,503600,58.6,8973714,6078149,26781,1842401,2018-11-01
10,3224,74,1418,7342,5900281,73263,908354,30278,84.17,35187,861247,1747,954924,2018-11-01
2,2620,35,1626,4437,39229137,203500,14087598,469587,63.91,9903083,4125808,11512,979211,2018-11-01
3,5423,333,2185,5391,5985138,999680,2513104,83770,52.16,454523,2031784,4800,1124440,2018-11-01
4,1055,32,193,1041,401817,11160,232494,7750,41.17,15817,222623,135,144537,2018-11-01
5,983,22,324,1265,1850514,190688,459576,15319,71.56,17704,448802,308,166242,2018-11-01
6,3328,35,413,7406,9880600,16920,879260,29309,91.1,287725,591277,NA,556979,2018-11-01
7b,4844,216,535,8255,1265418,36807,726463,24215,41.57,217300,539632,2332,614213,2018-11-01
7c,6142,110,1059,16090,17554596,94311,10127471,337582,42.12,6230733,3902604,8365,1583714,2018-11-01
8,17556,485,7095,50160,97721000,4070226,49614361,1653812,47.77,35969239,13722236,76982,6433042,2018-11-01
8a,4282,178,683,15565,10915425,4223568,4650451,155015,43.85,2651351,2054880,2499,967082,2018-11-01
9,7220,225,623,16802,1606918,54998,772910,25764,50.7,46910,739097,2307,1158443,2018-11-01
1,6159,134,3432,18993,38562775,173197,15406062,496970,59.89,9268938,6036872,19721,1829027,2018-10-01
10,3263,35,1392,7646,5525066,46150,968902,31255,82.17,49567,917667,732,975089,2018-10-01
2,2613,29,1580,4425,38964895,178428,14003126,451714,63.9,9908514,4038452,7209,924133,2018-10-01
3,4805,894,1686,5379,5711862,2130856,2133421,68820,49.59,492735,1622227,5611,1012605,2018-10-01
4,1071,24,198,1054,418467,5184,238509,7694,42.57,16972,220344,28,188823,2018-10-01
5,918,80,263,1317,1557267,889930,332503,10726,58.65,15157,313731,167,151206,2018-10-01
6,3316,39,421,7750,1577777,7215,928701,29958,41.14,288635,634442,520,561339,2018-10-01
7b,4961,158,513,8459,1301679,32810,746553,24082,41.76,221724,485947,1249,658564,2018-10-01
7c,6150,111,1055,16272,18254007,62000,10614958,342418,41.73,6728146,3761559,8828,1593815,2018-10-01
8,17698,297,7082,50683,97914448,2186699,51768306,1669945,46.35,37875647,13577569,88420,6642559,2018-10-01
8a,4242,202,675,15500,11139588,4315288,4851361,156496,42.89,2827745,1976237,3835,1022408,2018-10-01
9,7300,186,647,17336,1632845,33537,780420,25175,51.49,45809,705730,1190,1204472,2018-10-01
1,6009,181,3283,18429,34939718,227676,15214912,507164,56.23,9283098,5826498,27148,1732947,2018-09-01
10,3274,23,1388,7545,4504126,24575,961453,32048,78.46,52328,882499,1075,974563,2018-09-01
2,2593,25,1554,4389,36569235,39150,14433524,481117,60.49,10186098,4176331,10030,872177,2018-09-01
3,5026,708,1656,5560,5175344,1768356,2067199,68907,48.1,481508,1584882,4916,1012389,2018-09-01
4,1070,30,199,1054,391400,8036,223150,7438,42.27,15758,199420,5,187301,2018-09-01
5,932,75,263,1457,1638547,845220,322040,10735,62.29,16993,303543,197,148689,2018-09-01
6,3322,35,NA,7724,1538087,9870,900534,30018,41.45,285459,600694,485,546697,2018-09-01
7b,4870,203,499,8161,1259377,50024,745171,24839,39.44,217464,497157,1314,603828,2018-09-01
7c,6113,134,1016,16032,18482680,997203,9976225,332541,44.14,6714670,3209880,10639,1424606,2018-09-01
8,17416,460,7194,50588,94471814,3907167,47422260,1580742,48.36,34736854,12499334,76950,6263397,2018-09-01
8a,4385,60,1031,21510,10853290,17040,7992933,266431,26.3,6038118,1890532,1909,1008371,2018-09-01
9,7234,228,644,16959,1571104,54321,769331,25644,49.82,46980,663374,3089,935539,2018-09-01
1,6090,150,3345,18462,35611068,440547,15250392,491948,56.74,9427028,5795776,22073,1650406,2018-08-01
10,3245,66,1342,7676,3889131,16616,969943,31288,74.91,52821,925227,998,947029,2018-08-01
2,2553,49,1509,4368,36240206,663687,14155568,456631,60.3,9893841,4267103,10260,802096,2018-08-01
3,4753,908,1631,5306,5203859,1747639,2168599,69955,46.57,519920,1663776,5302,985063,2018-08-01
4,1068,31,195,1071,407862,16368,250163,8070,37.26,16060,228535,554,177993,2018-08-01
5,929,69,232,1482,1709021,768862,329780,10638,64.96,16623,309146,137,146437,2018-08-01
6,3314,32,4874,477293,1104127,217549,729665,23370.94,33.91,456624,NA,NA,538947,2018-08-01
7b,4876,187,506,8044,1305134,43321,783972,25289,38.77,227529,557866,2344,581432,2018-08-01
7c,6106,104,975,16337,19376290,69259,10483181,338167,45.77,6479958,4035912,12260,1425766,2018-08-01
8,17161,600,7007,49619,94937108,5197297,46564173,1502070,49.04,33824412,12638036,75647,6090602,2018-08-01
8a,4236,190,682,15430,10435603,4332994,4792026,154581,39.55,2722994,2071357,1769,906943,2018-08-01
9,7289,190,664,17127,1628725,37377,800863,25834,50.03,46413,757835,1172,891880,2018-08-01
1,6088,170,3250,18501,37326556,569501,15321344,494237,58.42,9353778,5922358,25676,1634960,2018-07-01
10,3145,123,1353,7727,3365993,79980,892645,28795,72.65,54647,841052,912,849737,2018-07-01
2,2546,43,1321,4343,33815882,1462670,12855797,414703,60.47,8904495,3962691,21780,800971,2018-07-01
3,4858,794,1645,5296,4692835,1046194,2104034,67872,47.36,539360,1553439,3326,1013065,2018-07-01
4,1049,44,195,1039,391583,16957,238784,7703,37.51,15494,225125,698,137365,2018-07-01
5,945,64,230,1500,1691401,748030,331994,10709,64.89,21071,313813,128,144324,2018-07-01
6,3345,24,427,7740,5779198,14477,918049,29614,84.11,294385,626257,NA,548103,2018-07-01
7b,4951,177,501,8191,1386974,46661,771862,24899,43.17,226193,542843,1974,592346,2018-07-01
7c,6120,105,984,16326,20311072,425705,10172793,328155,49.18,6380215,3755891,11693,1472088,2018-07-01
8,17264,407,7017,50681,89719839,1293545,45702995,1474290,48.56,32682800,12951740,75592,6099518,2018-07-01
8a,4412,47,1031,21381,10561304,255894,8105242,261459,22.41,6073780,2048197,5726,947265,2018-07-01
9,7322,194,672,16907,1656470,34158,787847,25414,51.72,50979,731917,752,903550,2018-07-01
1,5943,271,3101,18570,34076389,445867,15387145,512905,54.39,9516923,5885897,24212,1586892,2018-06-01
10,3215,80,1317,7832,3261240,53880,922385,30746,71.14,55075,847229,1242,866396,2018-06-01
2,2558,34,1293,4387,31508286,42270,12780350,426012,59.39,8880069,3785808,66648,843844,2018-06-01
3,5016,681,1646,5567,4495082,1000560,2059181,68639,46.4,547104,1508904,3196,1024364,2018-06-01
4,1100,19,203,1077,387722,4980,232723,7757,39.53,14854,209805,271,175962,2018-06-01
5,940,61,232,1506,1604405,722610,337046,11235,63.23,20756,312637,385,147421,2018-06-01
6,3328,29,426,7734,5290824,5700,892950,29765,83.12,286758,598230,439,552005,2018-06-01
7b,4893,213,493,8385,1353600,37114,758253,25275,43.02,223285,534617,2501,583451,2018-06-01
7c,6149,77,977,16300,19044081,133095,9674180,322473,48.96,6178230,3500184,7882,1454913,2018-06-01
8,17247,418,7090,50673,88199737,2754231,42912813,1430427,50.25,30584309,12227505,82309,6140159,2018-06-01
8a,4395,49,1037,21536,10136517,64050,7990586,266353,20.95,6061118,1948909,2426,1007903,2018-06-01
9,7279,233,662,16903,1578102,44296,770928,25698,50.17,49649,736849,2403,893561,2018-06-01
1,6008,190,3366,18206,38615313,1751798,14346762,462799,61.26,7735569,6628184,21113,1635848,2018-05-01
10,3283,30,1381,8143,5187412,6634,1011670,32635,80.45,60829,976419,1016,947618,2018-05-01
2,2541,40,1872,3758,31417579,356183,11662128,376198,62.48,8256529,3397967,9582,794437,2018-05-01
3,4980,716,1662,5341,4709707,965748,2091524,67469,48.41,588657,1545821,4335,1024257,2018-05-01
4,1069,30,198,1044,390723,12501,262205,8458,31.77,16326,247050,563,164846,2018-05-01
5,951,55,226,1511,1505608,688851,349609,11278,60.77,22461,329163,112,144942,2018-05-01
